Clapeyron Database File,,,,,
ChapmanEnskog Like Parameters,,,,,
species,Mw,epsilon,sigma,source
"r115~|~chloroperfluoroethane~|~chloropentafluoroethane~|~1-chloro-1,1,2,2,2-pentafluoroethane",154.45999999999998,201.9,5.88,10.1007/s10765-022-03096-9
r116~|~perfluoroethane~|~hexafluoroethane,138.01,226.16,5.25,10.1007/s10765-022-03096-9
r12~|~dichlorodifluoromethane,120.91,297.24,5.19,10.1007/s10765-022-03096-9
r1216~|~perfluoropropene~|~hexafluoropropene~|~perfluoropropylene~|~hexafluoropropylene,150.02252,285.0,5.14,10.1007/s10765-022-03096-9
"cis-1-chloro-2,3,3,3-tetrafluoropropene~|~r1224yd(z)~|~r1224ydz",148.4867,340.42,5.3,10.1007/s10765-022-03096-9
"r123~|~2,2-dichloro-1,1,1-trifluoroethane~|~1,1-dichloro-2,2,2-trifluoroethane",152.93,275.16,5.91,10.1007/s10765-022-03096-9
"r1233zde~|~r1233zd(e)~|~trans-1-chloro-3,3,3-trifluoropropene~|~(e)-1-chloro-3,3,3-trifluoroprop-1-ene~|~trans-1-chloro-3,3,3-trifluoro-1-propene",130.49,349.08,5.24,10.1007/s10765-022-03096-9
"r1234yf~|~2,3,3,3-tetrafluoropropene~|~2,3,3,3-tetrafluoro-1-propene~|~2,3,3,3-tetrafluoroprop-1-ene",114.04,281.14,5.33,10.1007/s10765-022-03096-9
"r1234zee~|~r1234ze(e)~|~trans-1,3,3,3-tetrafluoropropene~|~(e)-1,3,3,3-tetrafluoroprop-1-ene",114.04,303.8,5.0,10.1007/s10765-022-03096-9
"r1234zez~|~r1234ze(z)~|~cis-1,3,3,3-tetrafluoropropene~|~(z)-1,3,3,3-tetrafluoro-1-propene~|~(z)-1,3,3,3-tetrafluoroprop-1-ene",114.0416,336.11,5.1,10.1007/s10765-022-03096-9
"r124~|~1-chloro-1,2,2,2-tetrafluoroethane~|~2-chloro-1,1,1,2-tetrafluoroethane",136.47,275.8,5.5,10.1007/s10765-022-03096-9
"r1243zf~|~3,3,3-trifluoropropene~|~3,3,3-trifluoro-1-propene~|~1,1,1-trifluoro-2-propene~|~3,3,3-trifluoropropylene (r1243zf)",96.05,299.3,4.97,10.1007/s10765-022-03096-9
r125~|~pentafluoroethane,120.02,237.077,5.23,10.1007/s10765-022-03096-9
r13~|~chlorotrifluoromethane,104.46,204.0,4.97,10.1007/s10765-022-03096-9
"(2z)-1,1,1,4,4,4-hexafluorobut-2-ene~|~r1336mzzz",164.056,352.97,5.58,10.1007/s10765-022-03096-9
"r134a~|~tetrafluoroethane~|~1,1,1,2-tetrafluoroethane",102.03,288.82,5.06,10.1007/s10765-022-03096-9
"r141b~|~1,1-dichloro-1-fluoroethane",116.95,370.44,5.49,10.1007/s10765-022-03096-9
"r142b~|~1-chloro-1,1-difluoroethane",100.49,278.2,5.36,10.1007/s10765-022-03096-9
"r143a~|~1,1,1-trifluoroethane",84.04,301.76,4.83,10.1007/s10765-022-03096-9
"dichloroethane~|~1,2-dichloroethane",98.9592,445.96,4.96,10.1007/s10765-022-03096-9
"r152a~|~difluoroethane~|~1,1-difluoroethane",66.05,354.84,4.61,10.1007/s10765-022-03096-9
r161~|~fluoroethane~|~ethyl fluoride,48.059999999999995,320.39,4.46,10.1007/s10765-022-03096-9
r21~|~chfcl2~|~dichlorofluoromethane,102.92,358.6,4.7,10.1007/s10765-022-03096-9
r218~|~perfluoropropane~|~octafluoropropane,188.01999999999998,266.35,5.8,10.1007/s10765-022-03096-9
r22~|~chf2cl~|~chlorodifluoromethane~|~difluorochloromethane,86.47,284.724,4.67,10.1007/s10765-022-03096-9
"r227ea~|~1,1,1,2,3,3,3-heptafluoropropane",170.02999999999997,289.34,5.75,10.1007/s10765-022-03096-9
r23~|~fluoroform~|~trifluoromethane,70.01400000000001,243.91,4.28,10.1007/s10765-022-03096-9
"r236ea~|~1,1,1,2,3,3-hexafluoropropane",152.04000000000002,318.33,5.6,10.1007/s10765-022-03096-9
"r236fa~|~1,1,1,3,3,3-hexafluoropropane",152.04000000000002,307.24,5.64,10.1007/s10765-022-03096-9
"r245ca~|~1,1,2,2,3-pentafluoropropane",134.05,355.41,5.13,10.1007/s10765-022-03096-9
"r245fa~|~1,1,1,3,3-pentafluoropropane",134.05,259.89,5.85,10.1007/s10765-022-03096-9
r32~|~difluoromethane,52.023,289.65,4.1,10.1007/s10765-022-03096-9
"r365mfc~|~1,1,1,3,3-pentafluorobutane",148.07,365.28,5.49,10.1007/s10765-022-03096-9
r41~|~fluoromethane~|~methyl fluoride,34.033,244.88,4.12,10.1007/s10765-022-03096-9
rc318~|~perfluorocyclobutane~|~octafluorocyclobutane,200.03,308.41,5.55,10.1007/s10765-022-03096-9
re143a~|~hfe143m~|~trifluoromethoxymethane~|~trifluoromethyl methyl ether,100.0398,300.104,4.85,10.1007/s10765-022-03096-9
"1,1,1,2,2-pentafluoro-2-methoxyethane~|~re245cb2",150.04734,621.0,8.7,10.1007/s10765-022-03096-9
"difluoromethyl 2,2,2-trifluoroethyl ether~|~re245fa2",150.04734,353.28,5.36,10.1007/s10765-022-03096-9
"re347mcc~|~hfe347mcc~|~heptafluoro-1-methoxypropane~|~heptafluoropropyl methyl ether~|~1,1,1,2,2,3,3-heptafluoro-3-methoxypropane",200.05484,347.57,5.87,10.1007/s10765-022-03096-9
(e)-2-butene~|~trans-2-butene,56.11,259.0,5.51,10.1007/s10765-022-03096-9
toluene,92.14,469.9,5.51,10.1007/s10765-022-03096-9
chloroethene~|~vinyl chloride,62.49822,337.46,4.55,10.1007/s10765-022-03096-9
