Clapeyron Database File,,,,,,,
RefpropRES2025_viscosity Like Parameters,,,,,,,
species,ξ,n1,n2,n3,n4,source
"r1234zez~|~r1234ze(z)~|~cis-1,3,3,3-tetrafluoropropene~|~(z)-1,3,3,3-tetrafluoro-1-propene~|~(z)-1,3,3,3-tetrafluoroprop-1-ene",1.1051,0.392983,-0.167528,0.037984,0.0,10.1021/acs.jced.4c00451
"r124~|~1-chloro-1,2,2,2-tetrafluoroethane~|~2-chloro-1,1,1,2-tetrafluoroethane",1.0,0.41212,-0.18945,0.044478,0.0,10.1021/acs.jced.4c00451
"r1243zf~|~3,3,3-trifluoropropene~|~3,3,3-trifluoro-1-propene~|~1,1,1-trifluoro-2-propene~|~3,3,3-trifluoropropylene (r1243zf)",1.0406,0.392983,-0.167528,0.037984,0.0,10.1021/acs.jced.4c00451
r125~|~pentafluoroethane,1.0,0.326005,-0.109154,0.019807,0.0,10.1021/acs.jced.4c00451
r13~|~chlorotrifluoromethane,1.0,0.385255,-0.158415,0.035273,0.0,10.1021/acs.jced.4c00451
"(2z)-1,1,1,4,4,4-hexafluorobut-2-ene~|~r1336mzzz",1.0,0.095382,0.091688,-0.043208,0.0,10.1021/acs.jced.4c00451
"r134a~|~tetrafluoroethane~|~1,1,1,2-tetrafluoroethane",1.0,0.310059,-0.106155,0.020416,0.0,10.1021/acs.jced.4c00451
r14~|~perfluoromethane~|~tetrafluoromethane~|~carbon tetrafluoride,1.0,0.450154,-0.30721,0.112828,0.0,10.1021/acs.jced.4c00451
"r141b~|~1,1-dichloro-1-fluoroethane",1.0,0.368577,-0.146787,0.032034,0.0,10.1021/acs.jced.4c00451
"r142b~|~1-chloro-1,1-difluoroethane",1.0,0.198686,0.025088,-0.024214,0.0,10.1021/acs.jced.4c00451
"r143a~|~1,1,1-trifluoroethane",1.0,0.151459,0.08917,-0.050429,0.0,10.1021/acs.jced.4c00451
"dichloroethane~|~1,2-dichloroethane",1.0,0.535701,-0.305261,0.080679,0.0,10.1021/acs.jced.4c00451
"r152a~|~difluoroethane~|~1,1-difluoroethane",1.0,0.265764,-0.066609,0.008754,0.0,10.1021/acs.jced.4c00451
r161~|~fluoroethane~|~ethyl fluoride,1.0527,0.392983,-0.167528,0.037984,0.0,10.1021/acs.jced.4c00451
r21~|~chfcl2~|~dichlorofluoromethane,1.0,0.335415,-0.112703,0.019639,0.0,10.1021/acs.jced.4c00451
r218~|~perfluoropropane~|~octafluoropropane,1.0,0.361546,-0.142715,0.031279,0.0,10.1021/acs.jced.4c00451
r22~|~chf2cl~|~chlorodifluoromethane~|~difluorochloromethane,1.0,0.392154,-0.174282,0.040375,0.0,10.1021/acs.jced.4c00451
"r227ea~|~1,1,1,2,3,3,3-heptafluoropropane",1.0,0.333557,-0.123002,0.02453,0.0,10.1021/acs.jced.4c00451
r23~|~fluoroform~|~trifluoromethane,1.0,0.23995,-0.053348,0.006059,0.0,10.1021/acs.jced.4c00451
"r236ea~|~1,1,1,2,3,3-hexafluoropropane",1.0,0.336455,-0.126899,0.026339,0.0,10.1021/acs.jced.4c00451
"r236fa~|~1,1,1,3,3,3-hexafluoropropane",1.0,0.323674,-0.119077,0.023505,0.0,10.1021/acs.jced.4c00451
"r245ca~|~1,1,2,2,3-pentafluoropropane",1.0,0.3904,-0.168551,0.037777,0.0,10.1021/acs.jced.4c00451
"r245fa~|~1,1,1,3,3-pentafluoropropane",1.0,0.354663,-0.153191,0.035329,0.0,10.1021/acs.jced.4c00451
r32~|~difluoromethane,1.0,0.015284,0.220607,-0.095156,0.0,10.1021/acs.jced.4c00451
"r365mfc~|~1,1,1,3,3-pentafluorobutane",1.0755,0.392983,-0.167528,0.037984,0.0,10.1021/acs.jced.4c00451
r40~|~chloromethane~|~methyl chloride,1.0,0.142319,0.110023,-0.057116,0.0,10.1021/acs.jced.4c00451
r41~|~fluoromethane~|~methyl fluoride,0.9871,0.392983,-0.167528,0.037984,0.0,10.1021/acs.jced.4c00451
rc318~|~perfluorocyclobutane~|~octafluorocyclobutane,1.0,0.490322,-0.247741,0.061422,0.0,10.1021/acs.jced.4c00451
re143a~|~hfe143m~|~trifluoromethoxymethane~|~trifluoromethyl methyl ether,1.0141,0.392983,-0.167528,0.037984,0.0,10.1021/acs.jced.4c00451
"1,1,1,2,2-pentafluoro-2-methoxyethane~|~re245cb2",1.09,0.392983,-0.167528,0.037984,0.0,10.1021/acs.jced.4c00451
"difluoromethyl 2,2,2-trifluoroethyl ether~|~re245fa2",1.0,0.386539,-0.176311,0.040336,0.0,10.1021/acs.jced.4c00451
"re347mcc~|~hfe347mcc~|~heptafluoro-1-methoxypropane~|~heptafluoropropyl methyl ether~|~1,1,1,2,2,3,3-heptafluoro-3-methoxypropane",1.0,0.314588,-0.111438,0.020902,0.0,10.1021/acs.jced.4c00451
sulfur hexafluoride,1.0,0.182282,0.122179,-0.070003,0.0,10.1021/acs.jced.4c00451
sulfur dioxide,1.0,0.000376,0.167659,-0.062185,0.0,10.1021/acs.jced.4c00451
(e)-2-butene~|~trans-2-butene,1.0062,0.392983,-0.167528,0.037984,0.0,10.1021/acs.jced.4c00451
toluene,1.0,0.377943,-0.174981,0.041297,0.0,10.1021/acs.jced.4c00451
chloroethene~|~vinyl chloride,1.0429,0.392983,-0.167528,0.037984,0.0,10.1021/acs.jced.4c00451
water,1.0,0.294605,-0.21161,0.069198,0.0,10.1021/acs.jced.4c00451
xenon,1.0,0.421622,-0.101908,0.008931,0.0,10.1021/acs.jced.4c00451
