Clapeyron Database File,,,,,,,
RefpropRES_viscosity Like Parameters,,,,,,,
species,ξ,n1,n2,n3,n4,source
"r1233zde~|~r1233zd(e)~|~trans-1-chloro-3,3,3-trifluoropropene~|~(e)-1-chloro-3,3,3-trifluoroprop-1-ene~|~trans-1-chloro-3,3,3-trifluoro-1-propene",1.1249,-0.448046,1.012681,-0.381869,0.054674,10.1007/s10765-022-03096-9
"r1234yf~|~2,3,3,3-tetrafluoropropene~|~2,3,3,3-tetrafluoro-1-propene~|~2,3,3,3-tetrafluoroprop-1-ene",1.0709,-0.448046,1.012681,-0.381869,0.054674,10.1007/s10765-022-03096-9
"r1234zee~|~r1234ze(e)~|~trans-1,3,3,3-tetrafluoropropene~|~(e)-1,3,3,3-tetrafluoroprop-1-ene",1.0,-0.271954,0.627868,-0.17358,0.017966,10.1007/s10765-022-03096-9
"r1234zez~|~r1234ze(z)~|~cis-1,3,3,3-tetrafluoropropene~|~(z)-1,3,3,3-tetrafluoro-1-propene~|~(z)-1,3,3,3-tetrafluoroprop-1-ene",1.0,-0.448046,1.012681,-0.381869,0.054674,10.1007/s10765-022-03096-9
"r124~|~1-chloro-1,2,2,2-tetrafluoroethane~|~2-chloro-1,1,1,2-tetrafluoroethane",1.0,-0.792595,1.486421,-0.602246,0.08738,10.1007/s10765-022-03096-9
"r1243zf~|~3,3,3-trifluoropropene~|~3,3,3-trifluoro-1-propene~|~1,1,1-trifluoro-2-propene~|~3,3,3-trifluoropropylene (r1243zf)",1.15,-0.448046,1.012681,-0.381869,0.054674,10.1007/s10765-022-03096-9
r125~|~pentafluoroethane,1.0,-0.342489,0.784896,-0.25132,0.030741,10.1007/s10765-022-03096-9
r13~|~chlorotrifluoromethane,1.0,-0.374525,0.896176,-0.322568,0.045587,10.1007/s10765-022-03096-9
"(2z)-1,1,1,4,4,4-hexafluorobut-2-ene~|~r1336mzzz",1.0,-0.048441,-0.041878,0.288999,-0.077647,10.1007/s10765-022-03096-9
"r134a~|~tetrafluoroethane~|~1,1,1,2-tetrafluoroethane",1.0,-0.2422,0.597796,-0.159025,0.016428,10.1007/s10765-022-03096-9
r14~|~perfluoromethane~|~tetrafluoromethane~|~carbon tetrafluoride,1.0,0.065405,0.013901,0.255525,-0.081542,10.1007/s10765-022-03096-9
"r141b~|~1,1-dichloro-1-fluoroethane",0.9976,-0.448046,1.012681,-0.381869,0.054674,10.1007/s10765-022-03096-9
"r142b~|~1-chloro-1,1-difluoroethane",1.0,-0.070931,0.151631,0.175283,-0.056545,10.1007/s10765-022-03096-9
"r143a~|~1,1,1-trifluoroethane",1.0,-0.100784,0.177178,0.177172,-0.061736,10.1007/s10765-022-03096-9
"dichloroethane~|~1,2-dichloroethane",1.0266,-0.448046,1.012681,-0.381869,0.054674,10.1007/s10765-022-03096-9
"r152a~|~difluoroethane~|~1,1-difluoroethane",1.0,-0.252717,0.57923,-0.142847,0.014116,10.1007/s10765-022-03096-9
r161~|~fluoroethane~|~ethyl fluoride,1.0,-0.448046,1.012681,-0.381869,0.054674,10.1007/s10765-022-03096-9
r21~|~chfcl2~|~dichlorofluoromethane,1.0,-0.368823,0.77972,-0.220997,0.020458,10.1007/s10765-022-03096-9
r218~|~perfluoropropane~|~octafluoropropane,1.0,-0.413098,0.896325,-0.309494,0.042448,10.1007/s10765-022-03096-9
r22~|~chf2cl~|~chlorodifluoromethane~|~difluorochloromethane,1.0,-0.392734,0.942682,-0.364107,0.053545,10.1007/s10765-022-03096-9
"r227ea~|~1,1,1,2,3,3,3-heptafluoropropane",1.0596,-0.448046,1.012681,-0.381869,0.054674,10.1007/s10765-022-03096-9
r23~|~fluoroform~|~trifluoromethane,1.0,-0.328322,0.666185,-0.184776,0.020813,10.1007/s10765-022-03096-9
"r236ea~|~1,1,1,2,3,3-hexafluoropropane",1.0479,-0.448046,1.012681,-0.381869,0.054674,10.1007/s10765-022-03096-9
"r236fa~|~1,1,1,3,3,3-hexafluoropropane",1.0913,-0.448046,1.012681,-0.381869,0.054674,10.1007/s10765-022-03096-9
"r245ca~|~1,1,2,2,3-pentafluoropropane",1.0441,-0.448046,1.012681,-0.381869,0.054674,10.1007/s10765-022-03096-9
"r245fa~|~1,1,1,3,3-pentafluoropropane",1.0,-0.335358,0.819786,-0.306797,0.045028,10.1007/s10765-022-03096-9
r32~|~difluoromethane,1.1175,-0.448046,1.012681,-0.381869,0.054674,10.1007/s10765-022-03096-9
"r365mfc~|~1,1,1,3,3-pentafluorobutane",1.0,-0.448046,1.012681,-0.381869,0.054674,10.1007/s10765-022-03096-9
r40~|~chloromethane~|~methyl chloride,1.0,-0.007418,-0.192097,0.514124,-0.145914,10.1007/s10765-022-03096-9
r41~|~fluoromethane~|~methyl fluoride,1.0,-0.448046,1.012681,-0.381869,0.054674,10.1007/s10765-022-03096-9
rc318~|~perfluorocyclobutane~|~octafluorocyclobutane,0.9804,-0.448046,1.012681,-0.381869,0.054674,10.1007/s10765-022-03096-9
re143a~|~hfe143m~|~trifluoromethoxymethane~|~trifluoromethyl methyl ether,1.0,-0.448046,1.012681,-0.381869,0.054674,10.1007/s10765-022-03096-9
"1,1,1,2,2-pentafluoro-2-methoxyethane~|~re245cb2",1.0,-0.448046,1.012681,-0.381869,0.054674,10.1007/s10765-022-03096-9
"difluoromethyl 2,2,2-trifluoroethyl ether~|~re245fa2",1.1252,-0.448046,1.012681,-0.381869,0.054674,10.1007/s10765-022-03096-9
"re347mcc~|~hfe347mcc~|~heptafluoro-1-methoxypropane~|~heptafluoropropyl methyl ether~|~1,1,1,2,2,3,3-heptafluoro-3-methoxypropane",1.0812,-0.448046,1.012681,-0.381869,0.054674,10.1007/s10765-022-03096-9
sulfur hexafluoride,1.0,0.108901,-0.319451,0.606005,-0.16747,10.1007/s10765-022-03096-9
sulfur dioxide,1.0,0.28968,-0.710013,0.661319,-0.137567,10.1007/s10765-022-03096-9
(e)-2-butene~|~trans-2-butene,1.0,-0.448046,1.012681,-0.381869,0.054674,10.1007/s10765-022-03096-9
toluene,1.0,-0.731827,1.367906,-0.555558,0.08086,10.1007/s10765-022-03096-9
chloroethene~|~vinyl chloride,1.0,-0.448046,1.012681,-0.381869,0.054674,10.1007/s10765-022-03096-9
water,1.0,-0.669333,1.418565,-0.797172,0.160096,10.1007/s10765-022-03096-9
xenon,1.0,-0.489295,1.106419,-0.431597,0.088648,10.1007/s10765-022-03096-9
