Clapeyron Database File,,,,,,,,
PolynomialDiluteGas_viscosity Like Parameters,,,,,,,,
species,Mw,m0,m1,m2,m3,m4,source
methyl palmitate~|~methyl hexadecanoate~|~hexadecanoicacidmethylester,270.5,7.981074e-7,9.549344e-9,1.611903e-11,-1.543569e-14,4.654074e-18,10.1021/acs.jced.4c00451
methyl stearate~|~methyl octadecanoate~|~octadecanoicacidmethylester,298.5,7.95628e-7,9.040872e-9,1.525198e-11,-1.427199e-14,4.220736e-18,10.1021/acs.jced.4c00451
"mxylene~|~m-xylene~|~1,3-dimethylbenzene",106.16000000000001,7.014761e-6,-3.265414e-8,1.547145e-10,-1.930311e-13,8.805871e-17,10.1021/acs.jced.4c00451
nitrous oxide~|~dinitrogen monoxide,44.013,-8.42569e-8,4.481856e-8,4.959763e-11,-1.367593e-13,9.477411e-17,10.1021/acs.jced.4c00451
neon,20.18,-1.073809e-7,1.683298e-7,-3.053021e-10,3.922908e-13,-1.971639e-16,10.1021/acs.jced.4c00451
"neopentane~|~2,2-dimethylpropane",72.15,-3.046709e-7,2.352418e-8,1.170511e-11,-3.819993e-14,2.494823e-17,10.1021/acs.jced.4c00451
nitrogen trifluoride,71.019,-1.706667e-5,2.426827e-7,-6.236505e-10,6.860606e-13,-1.616162e-17,10.1021/acs.jced.4c00451
nitrogen,28.014,6.311805e-7,6.860736e-8,-4.483579e-11,2.090245e-14,-3.783382e-18,10.1021/acs.jced.4c00451
nonane~|~n-nonane,128.25,7.434123e-8,1.845098e-8,-1.8273e-12,1.195641e-15,-3.694364e-19,10.1021/acs.jced.4c00451
"novec649~|~dodecafluoro-2-methylpentan-3-one~|~1,1,1,2,2,4,5,5,5-nonafluoro-4-(trifluoromethyl)-3-pentanone",316.044,9.962758e-7,1.89293e-8,5.89873e-11,-9.763801e-14,5.154009e-17,10.1021/acs.jced.4c00451
octane~|~n-octane,114.23,7.892226e-8,1.939146e-8,-1.723176e-12,1.046177e-15,-2.981141e-19,10.1021/acs.jced.4c00451
