T,p,eta,rho,shortref,DOI,state,s,eta_s
222.95,20.785,3.437E-05,,Ross and Brown (1957),10.1021/ie50576a041,SCR,1.3452310740897,4.80977179859538
222.95,27.68,4.034E-05,,Ross and Brown (1957),10.1021/ie50576a041,SCR,1.51645044100114,5.69452041350458
222.95,41.47,5.017E-05,,Ross and Brown (1957),10.1021/ie50576a041,SCR,1.75008577988338,7.19240730878363
222.95,69.049,6.428E-05,,Ross and Brown (1957),10.1021/ie50576a041,SCR,2.04925409683517,9.44759596347994
310.93,34.474,2.665E-05,,Gonzales et al. (1967),10.2118/1483-PA,G,0.855451460439122,2.73818402430906
310.93,41.368,2.99E-05,,Gonzales et al. (1967),10.2118/1483-PA,G,0.965066482979796,3.09310766346285
344.26,41.368,2.75E-05,,Gonzales et al. (1967),10.2118/1483-PA,G,0.791886684204186,2.57141866354511
310.93,55.158,3.547E-05,,Gonzales et al. (1967),10.2118/1483-PA,G,1.14199502724037,3.71891688366952
344.26,55.158,3.222E-05,,Gonzales et al. (1967),10.2118/1483-PA,G,0.957613081592641,3.05480500338042
377.59,55.158,3.003E-05,,Gonzales et al. (1967),10.2118/1483-PA,G,0.81306186849547,2.59577002384323
310.93,34.474,2.665E-05,,Gonzales et al. (1967),10.2118/1483-PA,G,0.855451460439122,2.73818402430906
310.93,41.368,2.99E-05,,Gonzales et al. (1967),10.2118/1483-PA,G,0.965066482979796,3.09310766346285
310.93,55.158,3.547E-05,,Gonzales et al. (1967),10.2118/1483-PA,G,1.14199502724037,3.71891688366952
344.26,41.368,2.75E-05,,Gonzales et al. (1967),10.2118/1483-PA,G,0.791886684204186,2.57141866354511
344.26,55.158,3.222E-05,,Gonzales et al. (1967),10.2118/1483-PA,G,0.957613081592641,3.05480500338042
377.59,55.158,3.003E-05,,Gonzales et al. (1967),10.2118/1483-PA,G,0.81306186849547,2.59577002384323
300,27.517,2.308E-05,,Diller (1980),10.1016/0378-4371(80)90004-7,G,0.785256229848622,2.43815372073794
250,15.638,2.033E-05,,Diller (1980),10.1016/0378-4371(80)90004-7,G,0.804471909896021,2.53499523594195
250,19.91,2.455E-05,,Diller (1980),10.1016/0378-4371(80)90004-7,G,0.974682984446267,3.07228672154006
250,23.427,2.744E-05,,Diller (1980),10.1016/0378-4371(80)90004-7,G,1.08436659827759,3.44622693867553
250,26.264,2.956E-05,,Diller (1980),10.1016/0378-4371(80)90004-7,G,1.15922584504843,3.72414566173909
250,30.211,3.212E-05,,Diller (1980),10.1016/0378-4371(80)90004-7,G,1.24893456162943,4.06482466907558
250,33.107,3.391E-05,,Diller (1980),10.1016/0378-4371(80)90004-7,G,1.30668713949719,4.30542882183191
200,6.094,1.773E-05,,Diller (1980),10.1016/0378-4371(80)90004-7,G,0.814272617275721,2.71335437228781
200,7.097,2.325E-05,,Diller (1980),10.1016/0378-4371(80)90004-7,G,1.04473656082717,3.55162517147136
200,7.93,2.603E-05,,Diller (1980),10.1016/0378-4371(80)90004-7,G,1.1507551759893,3.97863130793743
200,8.981,2.811E-05,,Diller (1980),10.1016/0378-4371(80)90004-7,G,1.24566437283698,4.30252556831965
200,10.751,3.118E-05,,Diller (1980),10.1016/0378-4371(80)90004-7,G,1.36089456840145,4.78550217603065
200,13.488,3.449E-05,,Diller (1980),10.1016/0378-4371(80)90004-7,G,1.48811004746594,5.3163002121011
200,17.154,3.847E-05,,Diller (1980),10.1016/0378-4371(80)90004-7,G,1.61290842166763,5.96208367198161
200,22.786,4.326E-05,,Diller (1980),10.1016/0378-4371(80)90004-7,G,1.75542423663023,6.75546783673433
200,26.067,4.555E-05,,Diller (1980),10.1016/0378-4371(80)90004-7,G,1.82269557711975,7.1419974155208
180,3.533,3.178E-05,,Diller (1980),10.1016/0378-4371(80)90004-7,L,1.42806657771453,5.34540132579684
180,6.678,3.764E-05,,Diller (1980),10.1016/0378-4371(80)90004-7,L,1.66224198261216,6.37297553429206
180,10.967,4.277E-05,,Diller (1980),10.1016/0378-4371(80)90004-7,L,1.83414637643955,7.29462484315772
180,14.364,4.607E-05,,Diller (1980),10.1016/0378-4371(80)90004-7,L,1.93201401592125,7.89696813383778
180,15.531,4.734E-05,,Diller (1980),10.1016/0378-4371(80)90004-7,L,1.96122488529334,8.12775343491732
180,18.001,4.905E-05,,Diller (1980),10.1016/0378-4371(80)90004-7,L,2.01766184343054,8.44883396143039
180,18.936,5E-05,,Diller (1980),10.1016/0378-4371(80)90004-7,L,2.03742541570676,8.62268811040726
180,22.563,5.291E-05,,Diller (1980),10.1016/0378-4371(80)90004-7,L,2.10752475236529,9.16463126546521
180,26.093,5.535E-05,,Diller (1980),10.1016/0378-4371(80)90004-7,L,2.16780396927323,9.62559200391343
180,29.617,5.806E-05,,Diller (1980),10.1016/0378-4371(80)90004-7,L,2.22202952038401,10.1348584580399
170,2.334,3.872E-05,,Diller (1980),10.1016/0378-4371(80)90004-7,L,1.73305622919861,6.889391591376
170,2.334,3.878E-05,,Diller (1980),10.1016/0378-4371(80)90004-7,L,1.73305622919861,6.9000673014866
170,3.211,4.024E-05,,Diller (1980),10.1016/0378-4371(80)90004-7,L,1.78597207202448,7.17330357909885
170,5.915,4.365E-05,,Diller (1980),10.1016/0378-4371(80)90004-7,L,1.90933258190159,7.82081702820479
170,8.59,4.707E-05,,Diller (1980),10.1016/0378-4371(80)90004-7,L,2.00062212547375,8.47050319066656
170,11.617,5.026E-05,,Diller (1980),10.1016/0378-4371(80)90004-7,L,2.08432387480525,9.08480061749699
170,14.646,5.326E-05,,Diller (1980),10.1016/0378-4371(80)90004-7,L,2.15498019389951,9.66621049524522
170,14.768,5.331E-05,,Diller (1980),10.1016/0378-4371(80)90004-7,L,2.15761744525363,9.67680225188451
170,17.778,5.566E-05,,Diller (1980),10.1016/0378-4371(80)90004-7,L,2.21859433817635,10.1411322018315
170,21.436,5.82E-05,,Diller (1980),10.1016/0378-4371(80)90004-7,L,2.28409337838088,10.6488191749532
170,24.634,6.126E-05,,Diller (1980),10.1016/0378-4371(80)90004-7,L,2.33546105004117,11.2476382203062
170,28.011,6.35E-05,,Diller (1980),10.1016/0378-4371(80)90004-7,L,2.38501877428147,11.6994277164482
