substance,Mw/(kg/mol),m0/(Pa*s),m1/(Pa*s*K⁻¹),m2/(Pa*s*K⁻²),m3/(Pa*s*K⁻³),m4/(Pa*s*K⁻⁴),ref,ref_id
"2,2-dichloro-1,1,1-trifluoroethane|r123",0.152930,-2.273638e-06,5.099859e-08,-2.402786e-11,1.462266e-28,-2.419957e-32,"Martinek et al. (2025)",10.1021/acs.jced.4c00451
"1-chloro-3,3,3-trifluoro-1-propene|1-chloro-3,3,3-trifluoroprop-1-ene|r1233zd(e)|r1233zde",0.130490,1.034675e-06,2.036127e-08,6.173873e-11,-1.021594e-13,5.359969e-17,"Martinek et al. (2025)",10.1021/acs.jced.4c00451
"2,3,3,3-tetrafluoropropene|r1234yf",0.114040,-2.116422e-05,2.488831e-07,-7.995648e-10,1.399102e-12,-9.556010e-16,"Martinek et al. (2025)",10.1021/acs.jced.4c00451
"1,3,3,3-tetrafluoroprop-1-ene|trans-1,3,3,3-tetrafluoropropene|r1234ze(e)|r1234zee",0.114040,-9.306718e-06,8.362977e-08,1.083412e-11,-2.741049e-13,2.989021e-16,"Martinek et al. (2025)",10.1021/acs.jced.4c00451
"1-propene, 1,3,3,3-tetrafluoro-, (1z)-|r1234zez",0.114042,9.810939e-07,1.789431e-08,6.317320e-11,-1.101446e-13,6.194880e-17,"Martinek et al. (2025)",10.1021/acs.jced.4c00451
"2-chloro-1,1,1,2-tetrafluoroethane|r124",0.136470,8.868563e-07,2.338429e-08,8.451023e-11,-1.754850e-13,1.144382e-16,"Martinek et al. (2025)",10.1021/acs.jced.4c00451
"3,3,3-trifluoropropene|r1243zf",0.096050,1.019534e-06,2.226845e-08,8.299135e-11,-1.614206e-13,1.004061e-16,"Martinek et al. (2025)",10.1021/acs.jced.4c00451
"pentafluoroethane|r125",0.120020,2.490051e-07,3.501880e-08,6.191980e-11,-1.539360e-13,1.066756e-16,"Martinek et al. (2025)",10.1021/acs.jced.4c00451
"chlorotrifluoromethane|trifluoromethyl chloride|r13",0.104460,7.167216e-07,3.134369e-08,1.252460e-10,-3.444630e-13,2.891310e-16,"Martinek et al. (2025)",10.1021/acs.jced.4c00451
"(2z)-1,1,1,4,4,4-hexafluorobut-2-ene|r1336mzzz",0.164056,1.076017e-06,1.974467e-08,6.288160e-11,-1.037470e-13,5.478910e-17,"Martinek et al. (2025)",10.1021/acs.jced.4c00451
"1,1,1,2-tetrafluoroethane|r134a",0.102030,-1.766998e-07,4.267365e-08,-9.057271e-12,4.498500e-15,-1.269154e-18,"Martinek et al. (2025)",10.1021/acs.jced.4c00451
"carbon tetrafluoride|tetrafluoromethane|r14",0.088004,-1.267878e-06,7.423255e-08,-4.313163e-11,1.153668e-15,1.573620e-17,"Martinek et al. (2025)",10.1021/acs.jced.4c00451
"1,1-dichloro-1-fluoroethane|r141b",0.116950,9.964938e-07,1.819019e-08,5.287627e-11,-8.268453e-14,4.111597e-17,"Martinek et al. (2025)",10.1021/acs.jced.4c00451
"1-chloro-1,1-difluoroethane|r142b",0.100490,8.022061e-07,2.104950e-08,7.530063e-11,-1.551479e-13,1.004221e-16,"Martinek et al. (2025)",10.1021/acs.jced.4c00451
"1,1,1-trifluoroethane|r143a",0.084040,6.066659e-07,2.702110e-08,5.372734e-11,-9.979090e-14,5.436539e-17,"Martinek et al. (2025)",10.1021/acs.jced.4c00451
"1,2-dichloroethane|ethylene dichloride|r150",0.098959,1.224022e-06,1.751905e-08,4.482226e-11,-5.865100e-14,2.462412e-17,"Martinek et al. (2025)",10.1021/acs.jced.4c00451
"1,1-difluoroethane|difluoroethane|r152a",0.066050,1.030615e-06,1.993069e-08,5.965160e-11,-9.728077e-14,5.037542e-17,"Martinek et al. (2025)",10.1021/acs.jced.4c00451
"fluoroethane|ethane, fluoro-|ethyl fluoride|r161",0.048060,1.133650e-07,3.438750e-08,-9.380420e-12,1.174026e-14,-6.965281e-18,"Martinek et al. (2025)",10.1021/acs.jced.4c00451
"dichlorofluoromethane|dichloromonofluoromethane|rf 21|r21",0.102920,1.313573e-06,2.302766e-08,7.436838e-11,-1.212232e-13,6.353354e-17,"Martinek et al. (2025)",10.1021/acs.jced.4c00451
"perfluoropropane|perflutren|octafluoropropane|r218",0.188020,9.354121e-07,2.485850e-08,9.566975e-11,-2.064725e-13,1.405451e-16,"Martinek et al. (2025)",10.1021/acs.jced.4c00451
"chlorodifluoromethane|difluorochloromethane|r22",0.086470,9.177993e-07,2.677417e-08,8.158184e-11,-1.612226e-13,9.798157e-17,"Martinek et al. (2025)",10.1021/acs.jced.4c00451
"1,1,1,2,3,3,3-heptafluoropropane|r227ea",0.170030,9.460059e-07,2.308323e-08,8.203532e-11,-1.630847e-13,1.023186e-16,"Martinek et al. (2025)",10.1021/acs.jced.4c00451
"trifluoromethane|fluoroform|r23",0.070014,-2.067695e-06,6.662084e-08,-3.209106e-11,-7.216957e-15,2.140144e-17,"Martinek et al. (2025)",10.1021/acs.jced.4c00451
"1,1,1,2,3,3-hexafluoropropane|r236ea",0.152040,1.056338e-06,2.085544e-08,7.605690e-11,-1.398312e-13,8.272794e-17,"Martinek et al. (2025)",10.1021/acs.jced.4c00451
"1,1,1,3,3,3-hexafluoropropane|r236fa",0.152040,1.032122e-06,2.081948e-08,7.957160e-11,-1.516172e-13,9.306741e-17,"Martinek et al. (2025)",10.1021/acs.jced.4c00451
